course_title,skills,difficulty,rating,course_url,duration_hrs,platform,category
Road to the CISO – Culminating Project Course,"cyber-security regulation, cybersecurity staffing, risk management, contingency plan, cybersecurity governance",Intermediate,5.0,https://www.coursera.org/learn/road-to-ciso?specialization=managing-cybersecurity,18.0,Coursera,Information Technology
Regression Analysis: Simplify Complex Data Relationships,"predictive modelling, statistical analysis, python, effective communication, regression modeling",Intermediate,5.0,https://www.coursera.org/learn/regression-analysis-simplify-complex-data-relationships,28.0,Coursera,Data Science
Google Business Intelligence Professional Certificate,"data modeling, business analysis, bigquery, sheets, data analysis, extraction, transformation and loading (etl), business process, tableau software, data visualization, business intelligence, sql, dashboarding and reporting",Advanced,5.0,https://www.coursera.org/professional-certificates/google-business-intelligence,80.0,Coursera,Data Science
Introduction to Cybersecurity Essentials,"information security (infosec), cyberattacks, application security, cryptography, security",Beginner,4.9,https://www.coursera.org/learn/introduction-to-cybersecurity-essentials?specialization=it-cloud-fundamentals,14.0,Coursera,Information Technology
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","tensorflow, deep learning, mathematical optimization, hyperparameter tuning",Intermediate,4.9,https://www.coursera.org/learn/deep-neural-network?specialization=deep-learning,23.0,Coursera,Data Science
Machine Learning Specialization,"decision trees, artificial neural network, logistic regression, recommender systems, linear regression, regularization to avoid overfitting, gradient descent, supervised learning, logistic regression for classification, xgboost, tensorflow, tree ensembles",Intermediate,4.9,https://www.coursera.org/specializations/machine-learning-introduction,60.0,Coursera,Data Science
Features and Boundaries,"scale space, active contours, image transformations, edge and corner detection, sift detector",Intermediate,4.9,https://www.coursera.org/learn/features-and-boundaries?specialization=firstprinciplesofcomputervision,22.0,Coursera,Computer Science
Data Visualization & Dashboarding with R Specialization,"data science, data analysis, data visualization, reproducible research",Intermediate,4.9,https://www.coursera.org/specializations/jhu-data-visualization-dashboarding-with-r,80.0,Coursera,Data Science
Building Database Applications in PHP,"hypertext preprocessor (php), create, read, update and delete, mysql",Intermediate,4.9,https://www.coursera.org/learn/database-applications-php?specialization=web-applications,24.0,Coursera,Computer Science
Analyzing Big Data with SQL,"apache hive, apache impala, data analysis, big data, sql",Intermediate,4.9,https://www.coursera.org/learn/cloudera-big-data-analysis-sql-queries?specialization=cloudera-big-data-analysis-sql,17.0,Coursera,Data Science
